data,ticker,abertura,maximo,minimo,fecho,volume
2026-09-15,AAPL,,,,330.18,17906525
2026-09-16,AAPL,332.42,335.48,330.7,332.41,35923957
2026-09-16,MSFT,493.17,495.92,487.23,490.3,16615237
2026-09-16,GOOGL,346.98,348.4,340.64,342.87,18865340
2026-09-16,AMZN,248.2,249.26,244.3,245.96,33329699
2026-09-16,META,679.75,685.31,671.9142,673.31,17169529
2026-09-16,NVDA,214.14,216.76,212.5,213.9,96113489
2026-09-16,AMD,517.25,527.25,506.05,512.5,22200017
2026-09-16,INTC,101.4,104.42,99.29,101.05,119233579
2026-09-16,CRM,251.85,256.4,249.6,250.54,9423825
2026-09-16,ORCL,140.03,146.5,139.0,143.16,34210956
2026-09-16,JPM,353.38,355.6,344.685,348.92,8303359
2026-09-16,BAC,59.27,59.39,57.18,57.9,50082472
2026-09-16,GS,981.46,984.66,932.3701,937.98,3546168
2026-09-16,MS,207.87,208.08,200.63,202.42,6999583
2026-09-16,V,374.96,376.4746,368.12,370.93,7202297
2026-09-16,MA,571.59,573.04,565.32,567.75,2385308
2026-09-16,JNJ,266.81,268.6499,266.295,267.28,4887349
2026-09-16,PFE,27.64,27.69,27.36,27.46,26040913
2026-09-16,UNH,375.9,380.18,373.63,375.26,4414885
2026-09-16,ABBV,261.99,264.0,260.975,262.51,3117811
2026-09-16,MRK,143.96,144.97,143.5,144.91,7227209
2026-09-16,LLY,1137.3101,1151.23,1132.63,1137.8199,1475471
2026-09-16,XOM,167.23,167.495,162.56,163.32,13437842
2026-09-16,CVX,215.09,215.275,210.365,211.54,8045164
2026-09-16,COP,138.42,139.19,132.38,132.54,9045920
2026-09-16,KO,88.48,88.66,87.74,87.87,17074807
2026-09-16,PEP,135.415,136.05,134.235,134.34,6881139
2026-09-16,MCD,252.26,253.16,247.83,248.56,7122826
2026-09-16,NKE,36.375,36.51,35.76,35.78,30437906
2026-09-16,SBUX,97.385,98.34,96.08,97.34,9300890
2026-09-16,WMT,108.315,108.675,107.45,107.5,15137240
2026-09-16,COST,901.05,902.0,892.68,893.74,2097220
2026-09-16,PG,146.83,148.23,146.64,147.02,6949750
2026-09-16,BA,210.19,212.2129,197.02,201.96,12845697
2026-09-16,CAT,797.0,798.05,774.475,782.72,2645330
2026-09-16,GE,310.175,318.49,308.69,312.9,4524647
2026-09-16,DIS,106.475,108.335,106.23,106.99,10105714
2026-09-16,T,26.615,26.835,25.65,25.86,37791405
2026-09-16,VZ,51.25,51.56,49.325,49.76,24326582
2026-09-16,TSLA,357.71,365.0499,354.8913,358.08,32039274
